CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Zipcode
768805383,Existing Customer,45,M,3,High School,Married,61501,Blue,39,5,1,3,12691.0,777,11914.0,18914
818770008,Existing Customer,49,F,5,Graduate,Single,21723,Blue,44,6,1,2,8256.0,864,7392.0,18625
713982108,Existing Customer,51,M,3,Graduate,Married,118804,Blue,36,4,1,0,3418.0,0,3418.0,16878
769911858,Existing Customer,40,F,4,High School,Unknown,35130,Blue,34,3,4,1,3313.0,2517,796.0,17490
709106358,Existing Customer,40,M,3,Uneducated,Married,62303,Blue,21,5,1,0,4716.0,0,4716.0,17879
713061558,Existing Customer,44,M,2,Graduate,Married,51242,Blue,36,3,1,2,4010.0,1247,2763.0,16464
810347208,Existing Customer,51,M,4,Unknown,Married,155860,Gold,46,6,1,3,34516.0,2264,32252.0,18890
818906208,Existing Customer,32,M,0,High School,Unknown,72587,Silver,27,2,2,2,29081.0,1396,27685.0,18260
710930508,Existing Customer,37,M,3,Uneducated,Single,79167,Blue,36,5,2,0,22352.0,2517,19835.0,18251
719661558,Existing Customer,48,M,2,Graduate,Single,96377,Blue,36,6,3,3,11656.0,1677,9979.0,16344
708790833,Existing Customer,42,M,5,Uneducated,Unknown,197168,Blue,31,5,3,2,6748.0,1467,5281.0,17838
710821833,Existing Customer,65,M,1,Unknown,Married,51407,Blue,54,6,2,3,9095.0,1587,7508.0,17965
710599683,Existing Customer,56,M,1,College,Single,106861,Blue,36,3,6,0,11751.0,0,11751.0,17098
816082233,Existing Customer,35,M,3,Graduate,Unknown,70883,Blue,30,5,1,3,8547.0,1666,6881.0,17313
712396908,Existing Customer,57,F,2,Graduate,Married,21967,Blue,48,5,2,2,2436.0,680,1756.0,18864
714885258,Existing Customer,44,M,4,Unknown,Unknown,114580,Blue,37,5,1,2,4234.0,972,3262.0,16109
709967358,Existing Customer,48,M,4,Post-Graduate,Single,97012,Blue,36,6,2,3,30367.0,2362,28005.0,18153
753327333,Existing Customer,41,M,3,Unknown,Married,105815,Blue,34,4,4,1,13535.0,1291,12244.0,16875
806160108,Existing Customer,61,M,1,High School,Married,52040,Blue,56,2,2,3,3193.0,2517,676.0,16094
709327383,Existing Customer,45,F,2,Graduate,Married,1582,Blue,37,6,1,2,14470.0,1157,13313.0,18691
806165208,Existing Customer,47,M,1,Doctorate,Divorced,77329,Blue,42,5,2,0,20979.0,1800,19179.0,18261
708508758,Attrited Customer,62,F,0,Graduate,Married,17785,Blue,49,2,3,3,1438.3,0,1438.3,18401
784725333,Existing Customer,41,M,3,High School,Married,54022,Blue,33,4,2,1,4470.0,680,3790.0,17579
811604133,Existing Customer,47,F,4,Unknown,Single,12799,Blue,36,3,3,2,2492.0,1560,932.0,18763
789124683,Existing Customer,54,M,2,Unknown,Married,109468,Blue,42,4,2,3,12217.0,0,12217.0,17751
771071958,Existing Customer,41,F,3,Graduate,Single,25033,Blue,28,6,1,2,7768.0,1669,6099.0,16960
720466383,Existing Customer,59,M,1,High School,Unknown,43574,Blue,46,4,1,2,14784.0,1374,13410.0,16349
804424383,Existing Customer,63,M,1,Unknown,Married,78777,Blue,56,3,3,2,10215.0,1010,9205.0,17093
718813833,Existing Customer,44,F,3,Uneducated,Single,169596,Blue,34,5,2,2,10100.0,0,10100.0,17187
806624208,Existing Customer,47,M,4,High School,Married,59786,Blue,42,6,0,0,4785.0,1362,3423.0,17934
778348233,Existing Customer,53,M,3,Unknown,Married,85836,Blue,33,3,2,3,2753.0,1811,942.0,17878
712991808,Existing Customer,53,M,2,Uneducated,Married,65806,Blue,48,2,5,1,2451.0,1690,761.0,16825
709029408,Existing Customer,41,M,4,Graduate,Married,70858,Blue,36,4,1,2,8923.0,2517,6406.0,18944
788658483,Existing Customer,53,F,2,College,Married,36399,Blue,38,5,2,3,2650.0,1490,1160.0,17465
787937058,Existing Customer,58,M,0,Graduate,Married,92292,Blue,49,6,2,2,12555.0,1696,10859.0,18920
715318008,Existing Customer,55,F,1,College,Single,36041,Blue,36,4,2,1,3520.0,1914,1606.0,16552
713962233,Existing Customer,55,F,3,Graduate,Married,27061,Blue,36,6,2,3,3035.0,2298,737.0,17291
785432733,Existing Customer,42,F,4,High School,Married,26596,Gold,36,2,3,3,15433.0,0,15433.0,16569
715190283,Existing Customer,57,F,1,Graduate,Unknown,40302,Blue,49,3,3,2,3672.0,886,2786.0,17220
708300483,Attrited Customer,66,F,0,Doctorate,Married,6727,Blue,56,5,4,3,7882.0,605,7277.0,16427
827111283,Existing Customer,45,M,3,Graduate,Single,103962,Blue,41,2,2,2,32426.0,578,31848.0,16017
758551608,Existing Customer,51,M,2,Unknown,Married,50865,Blue,44,4,1,0,6205.0,2204,4001.0,16552
773146383,Existing Customer,50,F,1,College,Single,50749,Silver,43,3,2,3,17304.0,2517,14787.0,17402
778493808,Existing Customer,49,M,3,High School,Married,72011,Blue,37,5,2,1,3906.0,0,3906.0,18929
720572508,Existing Customer,38,F,4,Graduate,Single,157734,Blue,28,2,3,3,9830.0,2055,7775.0,16912
712661433,Existing Customer,49,M,4,Uneducated,Single,96521,Blue,30,3,2,3,34516.0,0,34516.0,18035
789172683,Existing Customer,56,M,2,Doctorate,Married,78925,Blue,45,6,2,0,2283.0,1430,853.0,17326
738406533,Existing Customer,59,M,1,Doctorate,Married,54464,Blue,52,3,2,2,2548.0,2020,528.0,18356
799723908,Existing Customer,46,M,3,High School,Married,107448,Blue,40,4,3,3,19458.0,1435,18023.0,16811
771490833,Existing Customer,52,M,1,College,Single,116502,Blue,40,5,1,1,4745.0,1227,3518.0,18506
720756708,Existing Customer,52,F,3,Unknown,Married,8872,Blue,41,6,3,2,2622.0,1549,1073.0,16914
779471883,Attrited Customer,54,F,1,Graduate,Married,19773,Blue,40,2,3,1,1438.3,808,630.3,16841
